country_name,min_kt,max_kt,growth_kt,scaled_min_kt,min_kt_per_max_kt
China,8256969.2,9867789.1,1610819.8999999994,16513938.4,0.836759796578952
United States,5110427.0,5432538.5,322111.5,10220854.0,0.9407070009720133
